Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,pppProject,mdbSupport,GDP,Inflation,Political Support,ProjectStatus
2,8,2,2,2,2,2002,0.6,3,0,1994,1,1,5.10E+01,8.450164377,57.142857,0
2,8,2,2,0,2,2000,224.2,0,2,2000,1,1,6.55E+01,7.044141059,53.439152,0
2,8,2,2,0,2,2001,0.07,3,11,2001,1,1,5.60E+01,6.840359025,0,0
2,8,2,2,0,2,2008,206.5,0,2,2008,1,1,1.70E+02,5.678593903,33.653847,0
2,8,2,2,2,2,2008,131,0,0,2008,1,1,1.70E+02,5.678593903,33.653847,0
2,8,2,2,0,2,2007,62.47,3,2,2007,1,1,1.40E+02,3.641272991,32.850243,0
2,8,2,2,2,2,2020,680,2,0,2020,1,1,1.48E+02,3.211768038,31.132076,0
2,8,2,2,0,2,2007,25.933709,3,11,2007,1,1,1.40E+02,3.641272991,32.850243,0
2,8,2,2,0,2,2011,23.3,3,2,2011,1,1,2.62E+02,6.636449622,41.232227,0
2,8,2,2,0,2,2001,25.933709,3,11,2001,1,1,5.60E+01,6.840359025,0,0
2,8,2,2,0,2,2006,25.933709,3,11,2006,1,1,1.11E+02,4.183568129,35.265701,0
2,8,2,2,0,2,2012,38.2,3,2,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,2015,125.9,0,2,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,1,2,1999,219.3,0,9,1999,0,1,6.00E+01,4.858447499,0,0
2,8,2,2,0,2,1998,41.4,3,2,1998,1,1,8.64E+01,3.195076293,34.042553,0
2,8,2,2,0,2,1997,3,3,2,1997,1,1,8.83E+01,6.926712516,0,0
2,8,2,2,0,2,2020,44.56,3,2,2020,1,1,1.48E+02,3.211768038,31.132076,0
2,8,2,2,0,2,2022,1564,1,11,2023,1,0,1.95E+02,9.28010609,33.962265,0
2,8,2,2,0,2,2022,1373,1,11,2023,1,0,1.95E+02,9.28010609,33.962265,0
2,8,2,2,0,2,2005,0.364,3,11,1996,1,1,8.92E+01,6.869537209,37.864079,0
2,8,2,2,0,2,2000,9.4,3,2,2000,1,1,6.55E+01,7.044141059,53.439152,0
2,8,2,2,2,2,2019,45.71,3,0,2019,1,1,1.87E+02,3.732976212,20.754717,0
2,8,2,2,0,2,2003,25.933709,3,2,2003,1,1,5.58E+01,14.71491972,41.708542,0
2,8,2,2,0,2,2023,30.4,3,7,2023,1,1,2.17E+02,4.593562823,0,0
2,8,2,2,2,2,2003,1,3,0,2003,1,1,5.58E+01,14.71491972,41.708542,0
2,8,2,2,0,2,1999,66.6,3,2,1999,1,1,6.00E+01,4.858447499,0,0
2,8,2,2,0,2,2000,15.97,3,2,2000,1,1,6.55E+01,7.044141059,53.439152,0
2,8,2,2,0,2,2000,25.933709,3,2,2000,1,1,6.55E+01,7.044141059,53.439152,0
2,8,2,2,0,2,2003,25.933709,3,11,2003,1,1,5.58E+01,14.71491972,41.708542,0
2,8,2,2,0,2,2010,16,3,11,2010,1,1,2.21E+02,5.038726901,45.971565,0
2,8,2,2,0,2,2002,25.933709,3,11,2002,1,1,5.10E+01,8.450164377,57.142857,0
2,8,2,2,0,2,2012,88.6,3,2,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,2012,365.8,0,2,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,2016,42.5,3,2,2016,1,1,1.80E+02,8.739143523,31.904762,0
2,8,2,2,0,1,2023,31.3,3,7,2023,1,0,2.17E+02,4.593562823,0,0
2,8,2,2,0,2,2015,2.4,3,2,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,0,2,2009,2.9,3,2,2002,1,1,1.67E+02,4.888034799,51.184834,0
2,8,2,2,0,2,2009,3.5,3,11,2002,1,1,1.67E+02,4.888034799,51.184834,0
2,8,2,2,3,0,2012,363.95,0,5,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,2007,25.933709,3,11,2007,1,1,1.40E+02,3.641272991,32.850243,0
2,8,2,2,3,0,2016,69.4,3,5,2016,1,1,1.80E+02,8.739143523,31.904762,0
2,8,2,2,0,2,2010,3.3,3,2,2010,1,1,2.21E+02,5.038726901,45.971565,0
2,8,2,2,0,2,2007,1,3,2,2007,1,1,1.40E+02,3.641272991,32.850243,0
2,8,2,2,0,2,2004,0.03,3,11,2004,1,1,6.69E+01,6.5971851,36.407768,0
2,8,2,2,2,2,1996,10,3,0,1996,1,1,8.50E+01,15.7576656,38.829788,0
2,8,2,2,0,2,2001,0.3,3,11,2001,1,1,5.60E+01,6.840359025,0,2
2,8,2,2,0,2,2002,25.933709,3,11,2002,1,1,5.10E+01,8.450164377,57.142857,0
2,8,2,2,0,2,2012,25.933709,3,11,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,4,2,2022,334.61,0,7,2022,1,1,1.95E+02,9.28010609,33.962265,0
2,8,2,2,0,2,2004,0.3,3,11,2004,1,1,6.69E+01,6.5971851,36.407768,0
2,8,2,2,0,2,2007,72.1,3,2,2007,1,1,1.40E+02,3.641272991,32.850243,0
2,8,2,2,0,2,2004,0.6,3,11,2004,1,1,6.69E+01,6.5971851,36.407768,0
2,8,2,2,0,2,2002,25.933709,3,2,2002,1,1,5.10E+01,8.450164377,57.142857,0
2,8,2,2,0,2,2003,44.5,3,11,2003,1,1,5.58E+01,14.71491972,41.708542,1
2,8,2,2,0,2,1999,6.8,3,2,1999,1,1,6.00E+01,4.858447499,0,0
2,8,2,2,0,2,1997,66,3,2,1997,1,1,8.83E+01,6.926712516,0,0
2,8,2,2,2,2,1996,17.7,3,0,1996,1,1,8.50E+01,15.7576656,38.829788,1
2,8,2,2,0,2,2015,62.1,3,2,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,0,2,2019,190.4,0,11,2019,1,0,1.87E+02,3.732976212,20.754717,0
2,8,2,2,2,1,2015,8.2,3,7,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,3,0,2012,2685.65,4,5,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,3,2,2018,1.4,3,5,2018,1,1,1.92E+02,3.664850284,29.245283,0
2,8,2,2,0,2,2012,121.5,0,2,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,2014,25.4,3,2,2014,1,1,2.46E+02,6.329040155,42.857143,0
2,8,2,2,0,2,2017,215.2,0,2,2017,1,1,2.06E+02,3.44637335,29.523809,0
2,8,2,2,0,2,2016,5.8,3,2,2016,1,1,1.80E+02,8.739143523,31.904762,0
2,8,2,2,0,2,2014,42.5,3,2,2014,1,1,2.46E+02,6.329040155,42.857143,0
2,8,2,2,0,2,2015,187.6,0,2,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,0,2,2012,47.1,3,2,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,3,0,2014,516.6,2,5,2014,1,1,2.46E+02,6.329040155,42.857143,0
2,8,2,2,0,2,2014,36.6,3,2,2014,1,1,2.46E+02,6.329040155,42.857143,0
2,8,2,2,0,2,2008,39.6,3,2,2008,1,1,1.70E+02,5.678593903,33.653847,0
2,8,2,2,0,2,2000,9.14,3,11,2000,1,1,6.55E+01,7.044141059,53.439152,0
2,8,2,2,0,2,2014,17,3,2,2014,1,1,2.46E+02,6.329040155,42.857143,0
2,8,2,2,1,2,2003,25.933709,3,9,1998,0,1,5.58E+01,14.71491972,41.708542,0
2,8,2,2,1,2,2002,25.933709,3,9,1998,0,1,5.10E+01,8.450164377,57.142857,0
2,8,2,2,1,2,2001,25.933709,3,9,1998,0,1,5.60E+01,6.840359025,0,0
2,8,2,2,1,2,2000,25.933709,3,9,1998,0,1,6.55E+01,7.044141059,53.439152,0
2,8,2,2,1,2,1999,25.933709,3,9,1998,0,1,6.00E+01,4.858447499,0,0
2,8,2,2,1,2,1998,216.7,0,9,1998,0,1,8.64E+01,3.195076293,34.042553,0
2,8,2,2,1,2,2004,209.6,0,9,1997,0,1,6.69E+01,6.5971851,36.407768,0
2,8,2,2,1,2,2002,205,0,9,1997,0,1,5.10E+01,8.450164377,57.142857,0
2,8,2,2,1,2,2001,25.933709,3,9,1997,0,1,5.60E+01,6.840359025,0,0
2,8,2,2,0,2,2012,717,2,2,2012,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,1,2,1997,373.9,0,9,1997,0,1,8.83E+01,6.926712516,0,0
2,8,2,2,0,2,2014,61.7,3,2,2014,1,1,2.46E+02,6.329040155,42.857143,0
2,8,2,2,0,2,2015,77.3,3,2,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,2,2,2019,268.27,0,7,2019,1,0,1.87E+02,3.732976212,20.754717,0
2,8,2,2,0,2,2014,80.2,3,2,2014,1,1,2.46E+02,6.329040155,42.857143,0
2,8,2,2,0,2,2002,0.4,3,11,2002,1,1,5.10E+01,8.450164377,57.142857,0
2,8,2,2,2,2,2022,39.13,3,7,2022,1,1,1.95E+02,9.28010609,33.962265,0
2,8,2,2,0,2,2022,10.3,3,7,2022,1,1,1.95E+02,9.28010609,33.962265,0
2,8,2,2,0,2,2016,14.3,3,2,2016,1,1,1.80E+02,8.739143523,31.904762,0
2,8,2,2,2,1,2018,29,3,7,2018,1,1,1.92E+02,3.664850284,29.245283,0
2,8,2,2,0,2,2015,101,0,2,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,0,2,2014,267.2,0,2,2014,1,1,2.46E+02,6.329040155,42.857143,0
2,8,2,2,0,2,2013,1911.8,1,2,2013,1,1,2.47E+02,6.204310666,36.966824,0
2,8,2,2,0,2,2004,0.3,3,11,2004,1,1,6.69E+01,6.5971851,36.407768,0
2,8,2,2,0,2,2008,1,3,11,2008,1,1,1.70E+02,5.678593903,33.653847,0
2,8,2,2,0,2,2012,151.9,0,2,2012,1,0,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,1,2022,66.5,3,7,2022,1,1,1.95E+02,9.28010609,33.962265,0
2,8,2,2,2,2,2022,47.77,3,7,2022,1,1,1.95E+02,9.28010609,33.962265,0
2,8,2,2,2,2,1996,27.7,3,0,1996,1,1,8.50E+01,15.7576656,38.829788,0
2,8,2,2,0,2,2008,197.9,0,2,2008,1,1,1.70E+02,5.678593903,33.653847,0
2,8,2,2,0,2,2015,136.1,0,11,2004,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,0,2,2004,34.5,3,11,2004,1,1,6.69E+01,6.5971851,36.407768,0
2,8,2,2,0,2,2000,2.8,3,2,2000,1,1,6.55E+01,7.044141059,53.439152,0
2,8,2,2,0,2,2012,1400,1,2,2000,1,1,2.47E+02,5.40349914,46.445499,0
2,8,2,2,0,2,2000,436.6,0,2,2000,1,1,6.55E+01,7.044141059,53.439152,0
2,8,2,2,0,2,1999,115.7,0,2,1999,1,1,6.00E+01,4.858447499,0,0
2,8,2,2,0,2,1998,216.6,0,2,1998,1,1,8.64E+01,3.195076293,34.042553,0
2,8,2,2,0,2,1998,65.2,3,2,1998,1,1,8.64E+01,3.195076293,34.042553,0
2,8,2,2,0,2,1998,89,3,2,1998,1,1,8.64E+01,3.195076293,34.042553,0
2,8,2,2,0,2,1998,11.6,3,2,1998,1,1,8.64E+01,3.195076293,34.042553,0
2,8,2,2,2,2,2001,11.4,3,0,2001,1,1,5.60E+01,6.840359025,0,0
2,8,2,2,3,2,2009,25.933709,3,5,2009,1,1,1.67E+02,4.888034799,51.184834,0
2,8,2,2,2,2,2004,4,3,0,2004,1,1,6.69E+01,6.5971851,36.407768,0
2,8,2,2,0,2,2008,22.5,3,2,2008,1,1,1.70E+02,5.678593903,33.653847,0
2,8,2,2,0,2,2008,74.2,3,2,2008,1,1,1.70E+02,5.678593903,33.653847,0
2,8,2,2,0,2,2002,25.933709,3,2,2002,1,1,5.10E+01,8.450164377,57.142857,0
2,8,2,2,0,2,2010,14.8,3,2,2010,1,1,2.21E+02,5.038726901,45.971565,0
2,8,2,2,0,2,2023,52,3,7,2023,1,0,2.17E+02,4.593562823,0,0
2,8,2,2,0,2,2016,19.3,3,2,2016,1,1,1.80E+02,8.739143523,31.904762,0
2,8,2,2,2,1,2016,66,3,7,2016,1,1,1.80E+02,8.739143523,31.904762,0
2,8,2,2,2,2,1997,1.6,3,0,1997,1,1,8.83E+01,6.926712516,0,2
2,8,2,2,0,2,2017,3.4,3,2,2017,1,1,2.06E+02,3.44637335,29.523809,0
2,8,2,2,2,1,2016,1,3,7,2016,1,1,1.80E+02,8.739143523,31.904762,0
2,8,2,2,0,2,2001,25.933709,3,11,2001,1,1,5.60E+01,6.840359025,0,0
2,8,2,2,0,2,2008,25.933709,3,11,2008,1,1,1.70E+02,5.678593903,33.653847,0
2,8,2,2,0,2,2000,25.933709,3,11,2000,1,1,6.55E+01,7.044141059,53.439152,0
2,8,2,2,0,2,2013,237.9,0,2,2013,1,1,2.47E+02,6.204310666,36.966824,0
2,8,2,2,0,2,2013,61.6,3,2,2013,1,1,2.47E+02,6.204310666,36.966824,0
2,8,2,2,0,2,2015,97.3,3,2,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,0,2,2015,151.2,0,2,2015,1,1,1.80E+02,9.029901024,34.285713,0
2,8,2,2,0,2,2000,25.933709,3,2,2000,1,1,6.55E+01,7.044141059,53.439152,0
2,8,2,2,0,2,2004,6,3,11,2004,1,1,6.69E+01,6.5971851,36.407768,0
1,9,2,2,3,1,2021,2.41,3,5,2021,1,1,8.404149302,3.297744353,58.018867,0
1,9,2,2,0,2,2000,152,0,2,2000,1,0,1.324599027,10.31626213,61.904762,0
1,9,2,2,3,1,2021,4.2,3,5,2021,1,1,8.404149302,3.297744353,58.018867,0
1,9,2,2,3,1,2021,2.32,3,5,2021,1,1,8.404149302,3.297744353,58.018867,0
1,9,2,2,3,1,2020,7.53,3,5,2020,1,1,7.03687584,1.672440969,58.490566,0
1,9,2,2,3,1,2021,5.6,3,5,2021,1,1,8.404149302,3.297744353,58.018867,0
1,9,2,2,3,1,2023,2.55,3,5,2023,1,1,1.02E+01,9.442841401,0,0
1,9,2,2,3,1,2021,5.79,3,5,2021,1,1,8.404149302,3.297744353,58.018867,0
0,10,0,1,2,2,2022,7,3,7,2022,1,1,2.950482932,5.343702649,44.811321,0
0,10,0,1,0,2,2023,2.3,3,7,2023,1,1,3.177276,2.127467966,0,0
0,11,2,2,2,2,2020,55.65,3,7,2020,1,1,1.47E+03,2.419421895,27.830189,0
0,11,2,2,2,2,2020,3.36,3,0,2020,1,1,1.47E+03,2.419421895,27.830189,0
0,11,2,2,2,2,2021,30.7,3,0,2021,1,1,1.78E+03,0.981015136,28.301888,0
0,11,2,2,0,2,2021,22.51,3,11,2021,1,1,1.78E+03,0.981015136,28.301888,0
0,11,2,2,3,1,2021,73.51,3,5,2021,1,1,1.78E+03,0.981015136,28.301888,0
0,11,2,2,2,2,2021,70.84,3,0,2021,1,1,1.78E+03,0.981015136,28.301888,0
0,11,2,2,2,2,2021,212.51,0,0,2021,1,1,1.78E+03,0.981015136,28.301888,0
0,11,2,2,2,2,1997,30,3,0,1997,1,1,9.62E+01,2.786465055,0,0
0,11,2,2,2,1,2018,57.82,3,0,2018,1,1,1.39E+03,2.0747904,36.320755,0
0,11,2,2,2,1,2015,53.37,3,0,2015,1,1,1.11E+03,1.437023809,26.190475,0
0,11,2,2,2,2,2006,29.349118,3,0,2006,1,1,2.75E+02,1.649430995,27.536232,0
0,11,2,2,1,2,2007,9.7,3,9,2007,0,1,3.55E+02,4.816767674,28.019323,0
0,11,2,2,0,2,2007,59.21,3,11,2007,1,1,3.55E+02,4.816767674,28.019323,0
0,11,2,2,2,2,2021,68.51,3,7,2021,1,1,1.78E+03,0.981015136,28.301888,0
0,11,2,2,2,2,2021,96.73,3,0,2021,1,1,1.78E+03,0.981015136,28.301888,0
0,11,2,2,2,2,2008,16.166,3,0,2008,1,1,4.59E+02,5.92525137,29.326923,0
0,11,2,2,2,2,2008,19.5994,3,0,2008,1,1,4.59E+02,5.92525137,29.326923,0
