Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,ProjectFinYear,pppProject,mdbSupport,GDP,Inflation,ProjectStatus
2,4,2,2,2,3,2012,103,0,2,2012,2012,1,1,54.6,22.314881,0
2,4,2,2,2,3,2006,158.4,0,1,2006,2006,1,0,23.3,13.741052,0
2,4,2,2,2,3,2006,239,0,1,2006,2006,1,0,23.3,13.741052,0
2,4,2,2,1,3,1998,29.861862,3,10,1994,1998,0,1,29.9,-1.70528,0
2,4,2,2,1,3,1996,185,0,10,1994,1996,0,1,27.2,-0.052375,0
2,4,2,2,1,3,1994,47.2,3,10,1994,1994,0,1,25.7,2.84934,0
2,4,2,2,1,3,1997,250,0,4,1992,1997,0,0,29.3,-0.463913,0
2,4,2,2,1,3,1992,25,3,4,1992,1992,0,0,22.9,16.071994,0
2,4,2,2,0,3,2011,162.2,0,3,1992,2011,1,0,53,23.703472,3
2,4,2,2,0,3,1992,568.2,2,3,1992,1992,1,0,22.9,16.071994,3
2,4,2,2,2,3,1995,177,0,2,1995,1995,1,0,25.8,3.165123,0
2,4,2,2,2,3,2018,43.2,3,2,2018,2018,1,1,52.5,42.033669,0
2,4,2,2,2,3,2017,152.6,0,2,2017,2017,1,0,64.4,26.006379,0
2,4,2,2,2,3,2012,261,0,2,2012,2012,1,1,54.6,22.314881,0
2,4,2,2,2,3,2011,157,0,2,2011,2011,1,1,53,23.703472,0
2,4,2,2,2,3,2006,548,2,7,2006,2006,0,1,23.3,13.741052,0
2,4,2,2,2,3,2006,511,2,7,2006,2006,0,1,23.3,13.741052,0
2,4,2,2,0,9,2006,322,0,3,2006,2006,1,1,23.3,13.741052,3
2,4,2,2,3,9,2003,29.861862,3,6,2003,2003,1,1,12.8,10.495703,2
2,4,2,2,3,9,2003,29.861862,3,6,2003,2003,1,1,12.8,10.495703,2
2,4,2,2,3,9,2003,29.861862,3,6,2003,2003,1,1,12.8,10.495703,2
2,4,2,2,3,9,2003,29.861862,3,6,2003,2003,1,1,12.8,10.495703,2
2,4,2,2,0,3,1994,3,3,3,1994,1994,1,1,25.7,2.84934,0
2,4,2,2,3,9,2003,29.861862,3,6,2003,2003,1,1,12.8,10.495703,2
2,4,2,2,3,9,2003,29.861862,3,6,2003,2003,1,1,12.8,10.495703,2
2,4,2,2,0,9,1997,775,2,3,1997,1997,1,1,29.3,-0.463913,1
2,4,2,2,1,4,1990,554.7,2,4,1990,1990,0,1,14.1,2078.316818,0
2,4,2,2,3,8,1993,605.6,2,6,1993,1993,1,0,23.7,-3.561096,0
2,4,2,2,1,3,1993,5.2,3,10,1993,1993,0,1,23.7,-3.561096,0
2,4,2,2,0,3,1995,41.9,3,3,1995,1995,1,1,25.8,3.165123,3
2,4,2,2,2,3,1992,160,0,7,1992,1992,0,0,22.9,16.071994,0
2,4,2,2,2,3,2019,234,0,2,2019,2019,1,0,44.8,49.195579,0
2,4,2,2,2,3,2018,40,3,2,2018,2018,1,0,52.5,42.033669,0
2,4,2,2,2,3,2018,225,0,2,2018,2018,1,1,52.5,42.033669,0
2,4,2,2,2,3,2011,8.8,3,2,2011,2011,1,1,53,23.703472,0
2,4,2,2,0,9,2008,331,0,3,2008,2008,1,1,36.2,23.171165,0
2,4,2,2,0,11,2004,33.45,3,3,1998,2004,1,1,16.5,18.363354,1
2,4,2,2,0,11,2003,29.861862,3,3,1998,2003,1,1,12.8,10.495703,1
2,4,2,2,0,11,2002,29.861862,3,3,1998,2002,1,1,9.772400425,30.555204,1
