Region,Country,IncomeGroup,IDAStatus,TypeofPPI,Sector,InvestmentYear,TotalInvestment,InvestmentRange,SubtypeOfPPI,FinancialClosureYear,pppProject,mdbSupport,GDP,Inflation,Political Support,ProjectStatus
2,10,2,2,0,3,1998,36.2,3,12,1998,1,1,86.4,3.195076,36.407768,0
2,10,2,2,0,3,1998,36.2,3,12,1998,1,1,86.4,3.195076,36.407768,0
2,10,2,2,0,3,2008,790,2,12,1997,1,1,170,5.678594,42.857143,0
2,10,2,2,0,3,1996,173.2,0,12,1996,1,1,85,15.757666,57.142857,0
2,10,2,2,0,5,1999,32.081882,3,3,1998,1,1,60,4.858447,37.864079,0
2,10,2,2,2,4,2008,515,2,1,2008,1,0,170,5.678594,42.857143,0
2,10,2,2,0,5,2009,950,2,3,2009,1,1,167,4.888035,34.285713,0
2,10,2,2,2,5,2007,73.4,3,1,2007,1,1,140,3.641273,36.966824,0
2,10,2,2,0,0,2012,2690.2,4,3,2012,1,1,247,5.403499,29.245283,0
2,10,2,2,0,0,2006,0.8,3,3,2006,1,1,111,4.183568,46.445499,0
2,10,2,2,0,4,2013,1657,1,3,2013,1,1,247,6.204311,20.754717,0
2,10,2,2,0,3,2016,4.4,3,12,2016,1,1,180,8.739144,33.962265,0
2,10,2,2,0,5,1998,164,0,3,1998,1,1,86.4,3.195076,36.407768,0
2,10,2,2,0,3,1997,70,3,3,1997,1,1,88.3,6.926713,41.708542,0
2,10,2,2,0,4,2023,300,0,12,1998,1,1,217,4.593563,0,0
2,10,2,2,0,4,2011,32.081882,3,12,1998,1,1,262,6.63645,29.523809,0
2,10,2,2,0,4,2010,32.081882,3,12,1998,1,1,221,5.038727,31.904762,0
2,10,2,2,0,4,2009,32.081882,3,12,1998,1,1,167,4.888035,34.285713,0
2,10,2,2,0,4,2008,32.081882,3,12,1998,1,1,170,5.678594,42.857143,0
2,10,2,2,0,4,2007,32.081882,3,12,1998,1,1,140,3.641273,36.966824,0
2,10,2,2,0,4,2006,32.081882,3,12,1998,1,1,111,4.183568,46.445499,0
2,10,2,2,0,4,2005,32.081882,3,12,1998,1,1,89.2,6.869537,41.232227,0
2,10,2,2,0,4,2004,32.081882,3,12,1998,1,1,66.9,6.597185,45.971565,0
2,10,2,2,0,5,2023,290,0,8,2023,1,1,217,4.593563,0,0
2,10,2,2,0,0,2023,165,0,8,2023,1,1,217,4.593563,0,0
2,10,2,2,0,0,2023,635.08,2,8,2023,1,1,217,4.593563,0,0
2,10,2,2,0,5,1994,159.3,0,3,1994,1,0,52.5,2075.888398,53.439152,0
2,10,2,2,1,3,2022,184.82,0,4,2022,0,1,195,9.280106,0,0
2,10,2,2,0,4,2013,32.081882,3,12,1998,1,1,247,6.204311,20.754717,0
2,10,2,2,0,4,2012,32.081882,3,12,1998,1,1,247,5.403499,29.245283,0
2,10,2,2,0,4,2003,32.081882,3,12,1998,1,1,55.8,14.71492,51.184834,0
2,10,2,2,0,4,2002,32.081882,3,12,1998,1,1,51,8.450164,33.653847,0
2,10,2,2,0,4,2001,32.081882,3,12,1998,1,1,56,6.840359,32.850243,0
2,10,2,2,0,4,2000,32.081882,3,12,1998,1,1,65.5,7.044141,35.265701,0
2,10,2,2,0,4,1999,32.081882,3,12,1998,1,1,60,4.858447,37.864079,0
2,10,2,2,0,4,1998,1765.3,1,12,1998,1,1,86.4,3.195076,36.407768,0
2,10,2,2,1,3,1997,32.8,3,4,1995,0,1,88.3,6.926713,41.708542,1
2,10,2,2,1,3,1995,32.081882,3,4,1995,0,1,76.9,66.007034,0,1
2,10,2,2,0,5,1997,942,2,3,1997,1,1,88.3,6.926713,41.708542,0
2,10,2,2,0,4,1996,855,2,11,1996,1,1,85,15.757666,57.142857,0
2,10,2,2,0,4,1997,100,0,11,1996,1,1,88.3,6.926713,41.708542,0
2,10,2,2,0,4,2003,41.6,3,11,1996,1,1,55.8,14.71492,51.184834,0
2,10,2,2,0,4,2004,105,0,11,1996,1,1,66.9,6.597185,45.971565,0
2,10,2,2,0,5,1997,40,3,12,1997,1,1,88.3,6.926713,41.708542,0
2,10,2,2,0,5,1997,64.3,3,12,1997,1,1,88.3,6.926713,41.708542,0
2,10,2,2,0,5,1997,797,2,12,1997,1,1,88.3,6.926713,41.708542,0
2,10,2,2,0,5,1997,369.6,0,3,1997,1,1,88.3,6.926713,41.708542,0
2,10,2,2,0,5,1997,592,2,3,1997,1,1,88.3,6.926713,41.708542,0
2,10,2,2,0,5,1994,168.8,0,3,1994,1,1,52.5,2075.888398,53.439152,0
2,10,2,2,0,4,2001,32.081882,3,3,1996,1,1,56,6.840359,32.850243,1
2,10,2,2,0,4,2000,32.081882,3,3,1996,1,1,65.5,7.044141,35.265701,1
2,10,2,2,0,4,1999,32.081882,3,3,1996,1,1,60,4.858447,37.864079,1
2,10,2,2,0,4,1998,32.081882,3,3,1996,1,1,86.4,3.195076,36.407768,1
2,10,2,2,0,4,1997,32.081882,3,3,1996,1,1,88.3,6.926713,41.708542,1
